max_player_depth;min_player_depth;avg_time;won;lost;draw;total_st_max_pl;total_st_min_pl;if_ab_cut_max_pl;if_ab_cut_min_pl
9;1;0.13881707191467285;0;0;1;950;124;True;False
9;1;0.11860322952270508;0;0;1;950;124;False;True
9;1;0.11607909202575684;0;0;1;950;124;False;False
9;2;0.42815279960632324;0;0;1;5520;921;True;True
9;2;1.7851099967956543;0;0;1;22114;2556;True;False
9;2;1.8063411712646484;0;0;1;22114;2556;False;True
9;2;1.8467462062835693;0;0;1;22114;2556;False;False
9;3;1.320955514907837;0;0;1;31634;4182;True;True
9;3;10.464078426361084;0;0;1;235378;25992;True;False
9;3;10.452352285385132;0;0;1;235378;25992;False;True
9;3;10.459297180175781;0;0;1;235378;25992;False;False
9;4;2.0095303058624268;0;0;1;68746;8357;True;True
9;4;18.226866006851196;0;0;1;619858;66312;True;False
9;4;18.240398406982422;0;0;1;619858;66312;False;True
9;4;18.04149341583252;0;0;1;619858;66312;False;False
9;5;2.0170395374298096;0;0;1;68746;8357;True;True
9;5;18.194453477859497;0;0;1;619858;66312;True;False
9;5;18.20210099220276;0;0;1;619858;66312;False;True
9;5;17.928761959075928;0;0;1;619858;66312;False;False
9;6;2.119091749191284;0;0;1;68746;8357;True;True
9;6;18.151143312454224;0;0;1;619858;66312;True;False
9;6;18.195445775985718;0;0;1;619858;66312;False;True
9;6;18.25076127052307;0;0;1;619858;66312;False;False
9;7;2.0861408710479736;0;0;1;68746;8357;True;True
9;7;18.212862253189087;0;0;1;619858;66312;True;False
